DeviceID,BayID,FromDay1,StartTime1,ToDay1,EndTime1,Exemption1,Description1,EffectiveOnPH1,TypeDesc1,Duration1,DisabilityExt1,FromDay2,StartTime2,ToDay2,EndTime2,Exemption2,Description2,TypeDesc2,Duration2,DisabilityExt2,EffectiveOnPH2,FromDay3,StartTime3,ToDay3,EndTime3,Exemption3,Description3,TypeDesc3,Duration3,DisabilityExt3,EffectiveOnPH3,FromDay4,StartTime4,ToDay4,EndTime4,Exemption4,Description4,TypeDesc4,Duration4,DisabilityExt4,EffectiveOnPH4,FromDay5,StartTime5,ToDay5,EndTime5,Exemption5,Description5,TypeDesc5,Duration5,DisabilityExt5,EffectiveOnPH5,FromDay6,StartTime6,ToDay6,EndTime6,Exemption6,Description6,TypeDesc6,Duration6,DisabilityExt6,EffectiveOnPH6
19003,2362,6,0:00:00,0,23:59:00,,2P DIS AOT 0:00-23:59,1,2P Disabled Only,120,0,1,0:00:00,5,16:00:00,,2P DIS AOT 00:00-16:00,2P Disabled Only,120,0,0,1,18:30:00,5,23:59:00,,2P DIS AOT 18:30-23:59,2P Disabled Only,120,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19004,2363,1,9:30:00,5,18:30:00,,1P MTR M-F 9:30-18:30,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19005,2364,1,9:30:00,5,18:30:00,,1P MTR M-F 9:30-18:30,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19006,2365,1,9:30:00,5,18:30:00,,1P MTR M-F 9:30-18:30,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19007,2366,1,9:30:00,5,18:30:00,,1P MTR M-F 9:30-18:30,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19008,2367,1,9:30:00,5,18:30:00,,1P MTR M-F 9:30-18:30,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19009,2368,1,9:30:00,5,18:30:00,,1P MTR M-F 9:30-18:30,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19010,2369,1,9:30:00,5,18:30:00,,1P MTR M-F 9:30-18:30,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19011,2370,1,9:30:00,5,18:30:00,,1P MTR M-F 9:30-18:30,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19062,2371,1,9:30:00,5,19:30:00,,1/2P MTR M-F 9:30-19:30,0,1/2P Meter,30,60,6,7:30:00,6,19:30:00,,2P SAT 7:30-19:30,2P,120,240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
